time	kind	file	md5	bytes	tables	agent	task
2026-09-22 19:19:53	table	jjx_table_backup_20260922-1919_before-201.sql	e52d533e27a156392ce8b6d4a6c05487	14588	1	dahuang	dev-20260922-024
2026-09-22 19:19:56	guard	sys_config_record-version_20260922-1919.sql	84e844f3a86e99f392773372eb8f7f80	14512	-	dahuang	dev-20260922-025
2026-09-22 19:20:09	guard	sys_menu_archive_ai_perms_20260922-1918.sql	138e342e79f61c9a8a817cfcaaec7ca5	70402B	2	dahuang	dev-20260922-024
2026-09-22 19:20:09	guard	sys_task_register_20260922-1918_before-025.sql	9cdb31c29da74a44629d33537436a314	981927B	1	dahuang	dev-20260922-024
2026-09-22 19:33:14	guard	sys_task_register_20260922-1933_before-026.sql	0eda6289eaa4e5f7117af855f5a20f64	983567	1	dahuang	dev-20260922-026
2026-09-22 19:40:12	full	jjx_erp_db_backup_20260922-1940_no-hr-employee.sql	f3202cc2edc94daed0671e5b50655fff	5667142	113	dahuang	dev-20260922-027
2026-09-22 19:40:43	guard	sys_task_register_20260922-1940_before-027.sql	dc6643eb99d0fa2528989df148245ec2	985013B	1	dahuang	dev-20260922-027
2026-09-23 07:52:13	table	jjx_table_backup_20260923-0752_doc-no-rules.sql	e2410679562f809f1583d17c67189cb7	14770	1	agent	dev-20260922-023
2026-09-23 09:06:44	full	jjx_erp_db_backup_20260923-0906_before-203.sql	7525fdc54a6d03854f7c3b7cb9171488	5723118	117	agent	dev-20260921-045
2026-09-23 10:18:10	guard	sys_task_register_20260923-1018_before-028-ledger.sql	04c58d1dfb49b5a7308af14caae8fd14	986691	1	Hermes	dev-20260922-028/019/023
2026-09-23 10:19:06	guard	sys_task_close-stale_20260923-1018.sql	017847089ffd61349bc761d80dcbd9dd	988612	1	dahuang	dev-20260923-001
2026-09-23 10:19:17	guard	sys_config_record-version_20260923-1019.sql	46fba87a4612c7b7f342d48bde7aa746	17160	-	agent	dev-20260923-001
2026-09-23 10:19:20	guard	sys_config_record-version_20260923-1019.sql	b311cc2cd0a8c3c89e00bbfd5810b890	17164	-	agent	dev-20260923-001
2026-09-23 10:22:53	guard	sys_task_2162_status_20260923-1022.sql	9f593f7264a1e09a357322cc51db16f5	8606	1	Hermes	dev-20260922-022
2026-09-23 10:30:05	table	jjx_table_backup_20260923-1030_before-202.sql	18d9159c6cab86f68618b44af1eabfd7	17271	1	agent	dev-20260922-023
2026-09-23 11:08:38	guard	sys_task_2162_status_20260923-1108.sql	a56e51632b53029810d48231e9896984	8564	1	Hermes	dev-20260922-022
2026-09-23 11:09:22	guard	sys_task_register_20260923-1109_before-002-mobile-split.sql	41631417d0be07385192b33d96b527e1	989595	1	dahuang	dev-20260923-002
2026-09-23 11:19:04	guard	sys_task_register_20260923-1119_before-003-receipt-analysis.sql	943ad7a2911aea0db99c6244cc935835	991331	1	dahuang	dev-20260923-003
2026-09-23 11:49:24	guard	sys_task_register_20260923-1149_before-004-receipt-impl.sql	aaaccb7f0ef1c6cd7d22402f85ddd2c6	996505	1	dahuang	dev-20260923-004
2026-09-23 11:50:51	full	jjx_erp_db_backup_20260923-1150_before-204.sql	cbbbf229e11299adf3af216693aa7169	5632375	114	agent	dev-20260923-004
2026-09-23 11:51:21	guard	sys_task_register_20260923-1151_before-029.sql	4b4da705788270b545dbc0191647de81	998588	1	Hermes	dev-20260922-029
2026-09-23 12:06:27	guard	sys_task_register_20260923-1206_before-005-receipt-ux.sql	966cbc54fad75e899d9de6dd700f67c6	1001712	1	dahuang	dev-20260923-005
2026-09-23 12:10:23	guard	sys_task_register_20260923-1210_before-030.sql	d83db758684c191e61a8054375c551e5	1003164	1	Hermes	dev-20260922-030/017
2026-09-23 12:17:28	guard	sys_task_register_20260923-1217_before-031-032.sql	62790a8fb825f1178b28b56afad702b2	1006136	1	Hermes	dev-20260922-031/032
2026-09-23 13:05:18	guard	sys_task_register_20260923-1305_before-006.sql	dc8df8674b222b14fcb6618f8e282a9f	1010394	1	dahuang	dev-20260923-006
2026-09-23 13:05:31	full	jjx_erp_db_backup_20260923-1305.sql	d0d4d00b1ec202d10ce6d129c6c46021	5650032	114	dahuang	dev-20260923-006
2026-09-23 14:56:11	guard	sys_task_2162_2207_2208_2209_status_20260923-1456.sql	b71c0830bbfd12283292fda2612f2e63	14869	1	Hermes	dev-20260922-030/031/032/022
2026-09-23 15:21:20	guard	sys_task_register_20260923-1521_before-007-warehouse-fix.sql	8fe289493b449c624494194306862b59	1014239	1	dahuang	dev-20260923-007
2026-09-23 15:22:10	full	jjx_erp_db_backup_20260923-1522_before-205.sql	b61de004589bc6754f2cc968b097a12e	5659681	114	agent	dev-20260923-007
2026-09-23 15:23:20	guard	sys_task_register_20260923-1523_before-0907.sql	3c42d5541963328f314c4b3d119bc11b	1016757	1	Hermes	dev-20260923-007
2026-09-23 15:30:37	guard	sys_task_register_20260923-1530_before-0909.sql	c6c6bf07f384814e161050a97434929c	1018906	1	Hermes	dev-20260923-009
2026-09-23 15:40:23	guard	sys_task_register_20260923-1540_before-0910-0914.sql	73b98762f9f50e24843f59c584eca3a4	1021006	1	Hermes	dev-20260923-010..014
2026-09-23 15:42:13	guard	sys_task_register_20260923-1535_before-0910-0914.sql	-	-	1	Hermes	dev-20260923-010..014
2026-09-23 15:50:20	guard	quality_lot_lot7_20260923-1550.sql	1583e78a4f9374f83bed49d95987a8ff	6109	1	Hermes	dev-20260922-022
2026-09-23 15:50:43	guard	sys_task_register_20260923-1550_before-0915.sql	ca4ff8af832d242ea1554ba1650f6987	1029056	1	Hermes	dev-20260923-015
2026-09-23 15:51:15	guard	sys_task_register_20260923-1551_before-008-stock-ledger.sql	ee03e3cea2499af15cb8cc08a305ff11	1030992	1	dahuang	dev-20260923-008
2026-09-23 16:02:08	guard	sys_task_register_20260923-1602_before-017-stock-ledger-impl.sql	cf2ed4a0f8a1292d41d37258af8aca03	1032133	1	dahuang	dev-20260923-017
2026-09-23 16:33:08	guard	sys_task_register_20260923-1633_before-018-019-handoff.sql	12a9f19128693d707570391fd2880902	1035812	1	dahuang	dev-20260923-018/019
2026-09-23 16:46:47	guard	sys_task_register_20260923-1646_before-020-scrap-restored.sql	a0eb8b15eec3856297dea5cfa8a63024	1041050	1	dahuang	dev-20260923-020
2026-09-23 17:00:42	guard	sys_task_register_20260923-1700_before-021to027-roadmap.sql	900d684b853bc475fb229c6c71763e68	1044825	1	dahuang	dev-20260923-021..027
2026-09-23 17:36:53	full	jjx_erp_db_backup_20260923-1736_before-206.sql	ab57bd613c2f6dfee587a67febbf1299	5739912	114	agent	dev-20260923-022
2026-09-23 18:03:56	guard	sys_task_register_20260923-1803_before-029to030-batch5-and-docno-gate.sql	128cf1a617d36e9ddc0fe9d23953beb5	1065736	1	Hermes	dev-20260923-029/dev-20260923-030
2026-09-23 18:18:49	guard	sys_task_2247_decision_20260923-1818_before-A-and-T2digits.sql	9451ddb18554e9f7b1ae5bf84a8c82a7	6737	1	Hermes	dev-20260923-029
2026-09-23 18:21:32	guard	sys_task_2247_docpointer_20260923-1821.sql	4eb33dc72ad3931641cff978719c1701	7418	1	Hermes	dev-20260923-029
sys_task_review_20260923-1825_before-close.sql	2026-09-23 18:25:13	dev-20260923-029	核销待审核任务前 guard（sys_task 表级）	1690ba286523b4e76e255fb18ae53f5a
2026-09-23 18:26:51	guard	sys_task_2247_decision2_20260923-1826.sql	2a0d292e6a88b429cf2e8626fd52ab4a	7548	1	Hermes	dev-20260923-029
2026-09-23 18:29:32	guard	sys_task_2247_status_rollback_20260923-1829.sql	61db036059c0d08d6c57afafb8f42965	7322	1	Hermes	dev-20260923-029
sys_task_review_20260923-1830_before-status-fix.sql	2026-09-23 18:30:07	dev-20260923-029	按用户指示改状态（3条转待开始+2条立项+2条核销）前 guard	aaf9a665316d6fc3be57ff3b8d50c3b4
2026-09-23 18:37:07	guard	sys_task_register_20260923-1837_before-032-fi-seq-fixed-width.sql	a1b14ef5ab509af0592d1501ccdc54d7	1080331	1	Hermes	dev-20260923-032
